"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Apr 2018)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","47.8%","60.1%","24.8%","50.0%","48.3%","3.6%","35.4%","","","","","","","","Victoria, BC V8T 2B7","0","","0","","Manager","Combined Resident and Family","English","18 Apr 2016","","Aberdeen Hospital","Yes","Operator and Outside Contractor","0.36","2.91","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Regular Schedule","1982","Vancouver Island Health","Yes","(250) 370-5648","(250) 370-5678","Follow-up","","Hospital Act","25","19","4"," ","No","No","No","1450 Hillside Ave.","3.27","Yes (fee charged)"
"N/A","No","0","35","","35","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","10.5%","65.5%","Info not available","Info not available","Info not available","0.9%","19.9%","","","","","","","","Shawnigan Lake, BC V0R 2W0","","2","","0","Director of Care","Family only","English, German, Indonesian, Dutch","","01 Apr 2016","Acacia Ty Mawr","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","17.1","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1940","Acacia Ty Mawr Holdings Ltd.","Yes","(250) 743-2124","(250) 743-2124 ext 2","","Follow-up","Community Care and Assisted Living Act","0","31","2","Hygiene items","No","Info not available","No","2655 E Shawnigan Lake","3.12","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","61","","61","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.1%","40.3%","2.8%","4.1%","1.8%","21.8%","12.9%","","","","","","","","Prince Rupert, BC V8J 4C1","","1","","0","Site Manager","Separate and Combined Resident and Family Councils","Filipino, Portuguese, Italian, Punjabi, Hindi, Tsimshain, Cebuano, English","","06 Jun 2016","Acropolis Manor","No","Operator","Info not available","2.95","Northern Health","1.0","1.6","1","1.5","3.3","2","0.7","0.0","0","11.9","16.4","10","0.1","0.0","0","0.2","0.0","0","1.6","4.9","3","1.6","6.6","4","","Regular Schedule","2009","Northern Health","Yes","(250) 622-6400","(250) 622-6450","","Follow-up","Community Care and Assisted Living Act","0","49","6"," ","No","No","No","1325 Summit Avenue","3.11","Yes (no fee)"
"N/A","No","0","73","","73","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.1%","66.1%","Info not available","0.7%","69.2%","9.3%","52.1%","","","","","","","","Vancouver, BC V5K 4T2","","1","","1","Site Leader / Manager","Resident only","Info not available","","09 Aug 2016","Adanac Park Lodge","Yes","Operator","0.24","3.04","Vancouver Coastal","1.0","0.0","0","1.5","13.7","10","0.7","0.0","0","11.9","19.2","14","0.1","0.0","0","0.2","0.0","0","1.6","4.1","3","1.6","0.0","0","","Regular Schedule","2000","Little Mountain Residential Care and Housing Society","Yes","(604) 299-7567","(604) 299-7567 ext 345","","Routine","Community Care and Assisted Living Act","0","67","3","Specialized products as required","No","No","No","851 Boundary Road","3.28","Yes (no fee)"
"Commendation","Yes (Sep 2017)","4","152","","156","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.6%","24.4%","Info not available","Info not available","11.3%","Info not available","23.3%","","","","","","","","Vancouver, BC V6L 2L1","","2","","1","Sharon Brown, Executive Director","Separate Resident and Family","English, Cantonese, Mandarin, Tagalog, French, South Asian languages, Farsi, Spanish","","29 Jun 2016","Arbutus Care Centre","Yes","Outside Contractor","0.23","2.45","Vancouver Coastal","1.0","0.0","0","1.5","1.3","2","0.7","0.0","0","11.9","16.0","25","0.1","0.0","0","0.2","0.0","0","1.6","0.6","1","1.6","1.3","2","","Regular Schedule","1986","Revera Long Term Care","Yes","(604) 261-4292","(604) 261-4292","","Routine","Hospital Act","0","58","49","Clothing labelling fee","No","Yes","No","4505 Valley Drive","2.68","Yes (no fee)"
"Accredited","Yes (2015)","0","16","","16","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","6.3%","48.7%","7.8%","43.5%","Info not available","Info not available","22.7%","","","","","","","","Nakusp, BC V0G 1R0","","0","","0","Patient Care Coordinator","Separate and Combined Resident and Family Councils","English, French","","07 Oct 2015","Arrow Lakes Hospital – Minto","Yes","Operator","0.51","2.93","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","31.3","5","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Interior Health","Yes","(250) 265-5233","(250) 265-4317","","Monitoring","Hospital Act","0","15","0"," ","Yes","Yes","No","97 1st Street","3.44","Yes (no fee)"
"Primer Award","No","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.0%","57.9%","0.3%","2.8%","Info not available","21.9%","10.6%","","","","","","","","Parksville, BC V9P 1M9","","3","","2","Care Manager","Separate Resident and Family","Spanish, Russian, German, Korean, Japanese, Mandarin, Filipino, Tagalog, Punjabi, Croatian, Malay, Hindi","","28 Apr 2016","Arrowsmith Lodge","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","4.0","3","0.7","2.7","2","11.9","12.0","9","0.1","0.0","0","0.2","0.0","0","1.6","6.7","5","1.6","0.0","0","","Regular Schedule","2005","Arrowsmith Health Care (2011) Society","Yes","(250) 248-4331","(250) 248-4331","","Follow-up","Community Care and Assisted Living Act","0","75","0"," ","No","No","No","266 Moilliet St","3.11","Yes (no fee)"
"N/A","No","2","30","","32","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","44.5%","66.7%","0.8%","Info not available","4.1%","17.3%","19.9%","","","","","","","","Sooke, BC V9Z1K1","","2","","1","Director Resident Care","Combined Resident and Family","English","","01 Dec 2016","Ayre Manor","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","12.5","4","0.1","0.0","0","0.2","0.0","0","1.6","3.1","1","1.6","0.0","0","","Regular Schedule","2008","Sooke Elderly Citizens Housing Society","Yes","(250) 642-1750","250) 642-1750 ext 105","","Follow-up","Community Care and Assisted Living Act","0","32","0"," ","No","No","No","6764 Ayre Rd","3.15","Yes (no fee)"
"Info not available","Yes (Oct 2018)","0","148","","148","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.1%","50.9%","8.7%","19.2%","59.5%","5.9%","22.0%","","","","","","","","Maple Ridge, BC V2X 7G5","","1","","1","Manager Resident Care","Separate Resident and Family","English","","23 Jun 2016","Baillie House","No","Operator","0.37","3.05","Fraser Health","1.0","0.7","1","1.5","0.0","0","0.7","1.4","2","11.9","7.4","11","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","2.0","3","","Regular Schedule","2006","Fraser Health","Yes","(604) 476-7888","1st/2nd floor: (604) 466-7933 3rd floor: (604) 466-7935","","Follow-up","Hospital Act","0","116","16"," ","No","No","No","11666 Laity St","3.42","Yes (no fee)"
"Accredited","Yes (2016)","0","156","","156","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.4%","35.0%","20.7%","42.1%","1.1%","4.0%","16.6%","","","","","","","","Vancouver, BC V5Z 1M9","","Info not available","","Info not available","Manager","Separate and Combined Resident and Family Councils","English, French, Mandarin, Japanese, Cantonese, Punjabi, Hindi, Tagalog, Swahili","","07 Jun 2016","Banfield","No","Operator","0.27","2.79","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","1.9","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.6","1","","Regular Schedule","1980","Vancouver Coastal Health","Yes","(604) 875-4111","(604) 875-4111 ext 68957","","07 Jun 2016","Hospital Act","36","17","13"," ","No","No","No","2785 Ash Street","3.06","No (fee charged)"
